ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Year-Of-Publication-Bin,Book-Author-Encode,Book-Publisher-Encode,Year-Of-Publication-Bin-Encode,Filtered-Title
0425115801,lightning,Dean R. Koontz,1996,Berkley Publishing Group,"[1980, 2000)",1417,145,4,lightning
0345454073,homing,John Saul,2002,Ballantine Books,"[2000, 2020)",3132,111,5,homing
0312983654,wire blood dr tony hill carol jordan mystery,Val McDermid,2002,St. Martin's Minotaur,"[2000, 2020)",6204,1124,5,wire blood dr tony hill carol jordan mystery
0671024248,heart atlantis,Stephen King,2000,Pocket,"[2000, 2020)",5762,913,5,heart atlantis
0553582933,winter moon,Dean R. Koontz,2001,Bantam Books,"[2000, 2020)",1417,113,5,winter moon
0671034022,mercy,Julie Garwood,2002,Pocket,"[2000, 2020)",3310,913,5,mercy
0440208149,acceptable time,Madeleine L'Engle,1990,Laure Leaf,"[1980, 2000)",4043,652,4,acceptable time
0451151259,eye dragon,Stephen King,1988,Penguin Putnam~mass,"[1980, 2000)",5762,869,4,eye dragon
0375727132,dive clausen pier novel vintage contemporary paperback,ANN PACKER,2003,Vintage,"[2000, 2020)",56,1254,5,dive clausen pier  vintage contemporary 
0446607711,simple truth,David Baldacci,1999,Warner Books,"[1980, 2000)",1333,1277,4,simple truth
0345416880,enchantment,Orson Scott Card,2000,Del Rey Books,"[2000, 2020)",4718,282,5,enchantment
0312874006,angel darkness key book,Charles de Lint,2002,Orb Books,"[2000, 2020)",1009,820,5,angel darkness key
0380771292,black thorn white rose,Ellen Datlow,1995,Eos,"[1980, 2000)",1796,383,4,black thorn white rose
0385483503,arranged marriage story,Chitra Banerjee Divakaruni,1996,Anchor,"[1980, 2000)",1036,58,4,arranged marriage
0060187271,last report miracle little horse,Louise Erdrich,2001,HarperCollins Publishers,"[2000, 2020)",3903,518,5,last report miracle little horse
0385497288,unknown error life story,Chitra Banerjee Divakaruni,2002,Anchor Books/Doubleday,"[2000, 2020)",1036,60,5,unknown error life
038548951X,sister heart,Chitra Banerjee Divakaruni,2000,Anchor Pub,"[2000, 2020)",1036,61,5,sister heart
0345386256,guide star war universe,Bill Slavicsek,1994,Del Rey Books,"[1980, 2000)",686,282,4,guide star war universe
0679725164,exit three play vintage international,Jean Paul Sartre,1989,Vintage Books USA,"[1980, 2000)",2817,1257,4,exit three play vintage international
0312278675,steppenwolf novel,Hermann Hesse,2002,Picador,"[2000, 2020)",2376,896,5,steppenwolf
0060512806,cryptonomicon,Neal Stephenson,2002,Avon Books,"[2000, 2020)",4615,95,5,cryptonomicon
0060901012,brave new world brave new world revisited,Aldous Huxley,1942,Perennial,"[1940, 1960)",142,878,2,brave new world brave new world revisited
0060930071,antelope wife novel,Louise Erdrich,1999,Perennial,"[1980, 2000)",3903,878,4,antelope wife
0060972459,track ri,Louise Erdrich,2004,Perennial,"[2000, 2020)",3903,878,5,track ri
0805012478,steppenwolf,Hermann Hesse,1990,Henry Holt & Company,"[1980, 2000)",2376,555,4,steppenwolf
0060975547,love medicine,Louise Erdrich,1993,Perennial,"[1980, 2000)",3903,878,4,love medicine
0609806505,guenevere queen summer country guenevere novel paperback,ROSALIND MILES,2000,Three Rivers Press,"[2000, 2020)",5092,1176,5,guenevere queen summer country guenevere  
0060977507,beet queen novel,Louise Erdrich,1998,Perennial,"[1980, 2000)",3903,878,4,beet queen
0812505166,wuthering height,Emily Bronte,1989,Tor Classics,"[1980, 2000)",1823,1193,4,wuthering height
0393312801,acid house,Irvine Welsh,1995,W. W. Norton & Company,"[1980, 2000)",2455,1270,4,acid house
0446525804,last man standing,David Baldacci,2001,Warner Books,"[2000, 2020)",1333,1277,5,last man standing
0446516570,country novel,Nelson DeMille,2002,Warner Books,"[2000, 2020)",4624,1277,5,country
0380752298,white raven,Dianna L. Paxson,1989,Harper Mass Market Paperbacks (Mm),"[1980, 2000)",1503,508,4,white raven
0345434773,evensong ballantine reader circle,Gail Godwin,2000,Ballantine Books,"[2000, 2020)",2070,111,5,evensong ballantine reader circle
0515122491,maze,Catherine Coulter,1998,Jove Books,"[1980, 2000)",951,625,4,maze
051512902X,dark,Jayne Castle,2000,Jove Books,"[2000, 2020)",2799,625,5,dark
0515131091,world,J. D. Robb,2001,Jove Books,"[2000, 2020)",2481,625,5,world
0140265686,canaan mitford year,Jan Karon,1998,Viking Books,"[1980, 2000)",2729,1247,4,canaan mitford year
0140257934,high green hill mitford year,Jan Karon,1997,Viking Books,"[1980, 2000)",2729,1247,4,high green hill mitford year
0140254544,light window mitford year,Jan Karon,1996,Penguin Books,"[1980, 2000)",2729,860,4,light window mitford year
0446606723,wild seed,Octavia E. Butler,1999,Aspect,"[1980, 2000)",4704,81,4,wild seed
0451524934,,George Orwell,1990,Signet Book,"[1980, 2000)",2132,1081,4,
0679721819,mama day vintage contemporary,Gloria Naylor,1989,Vintage Books USA,"[1980, 2000)",2186,1257,4,mama day vintage contemporary
0345392825,reviving ophelia saving self adolescent girl ballantine reader circle,Mary Pipher,1995,Ballantine Books,"[1980, 2000)",4258,111,4,reviving ophelia saving self adolescent girl ballantine reader circle
0679745645,voice room vintage international,Truman Capote,1994,Vintage Books USA,"[1980, 2000)",6175,1257,4,voice room vintage international
1569470901,rebuilding coventry tale two city,Sue Townsend,1997,Soho Press,"[1980, 2000)",5827,1109,4,rebuilding coventry tale two city
0671027123,night holiday classic,Mary Higgins Clark,1999,Pocket,"[1980, 2000)",4239,913,4,night holiday classic
0375412972,yeats dead mystery irish writer,Roddy Doyle,2001,Alfred A. Knopf,"[2000, 2020)",5372,39,5,yeats dead mystery irish writer
0449225151,place called freedom,Ken Follett,1996,Fawcett Books,"[1980, 2000)",3501,410,4,place called freedom
8466307982,la joven de la perla,Tracy Chevalier,2002,Santillana USA Publishing Company,"[2000, 2020)",6158,1036,5,la joven de la perla
0765342405,ender shadow,Orson Scott Card,2002,Starscape Books,"[2000, 2020)",4718,1134,5,ender shadow
844062719X,maestro cantor,Orson Scott Card,1993,Ediciones B,"[1980, 2000)",4718,351,4,maestro cantor
0345350499,mist avalon,MARION ZIMMER BRADLEY,1987,Del Rey,"[1980, 2000)",4002,281,4,mist avalon
844507119X,fahrenheit,Ray Bradbury,1997,Minotauro,"[1980, 2000)",5133,754,4,fahrenheit
0689837070,tithe,Holly Black,2003,Simon & Schuster (Trade Division),"[2000, 2020)",2384,1088,5,tithe
0312976275,hot six stephanie plum novel stephanie plum novel,Janet Evanovich,2001,St. Martin's Paperbacks,"[2000, 2020)",2766,1125,5,hot six stephanie plum  stephanie plum
0767905180,jemima j novel ugly duckling swan,Jane Green,2001,Broadway Books,"[2000, 2020)",2739,193,5,jemima j  ugly duckling swan
0373242328,perfect neighbor macgregor macgregor special edition series,Nora Roberts,1999,Silhouette,"[1980, 2000)",4684,1085,4,perfect neighbor macgregor macgregor special edition series
0517077744,sandra brown three complete novel,SANDRA BROWN,1992,Wings,"[1980, 2000)",5472,1308,4,sandra brown three complete
0373240228,fall shane mackade mackade brother silhouette special edition,Nora Roberts,1996,Silhouette,"[1980, 2000)",4684,1085,4,fall shane mackade mackade brother silhouette special edition
059035342X,harry potter sorcerer stone harry potter paperback,J. K. Rowling,1999,Arthur A. Levine Books,"[1980, 2000)",2488,78,4,harry potter sorcerer stone harry potter 
0446529788,kiss remembered classic love story,Sandra Brown,2002,Warner Books,"[2000, 2020)",5541,1277,5,kiss remembered classic love
044652767X,seduction design,Sandra Brown,2001,Warner Books,"[2000, 2020)",5541,1277,5,seduction design
0373708351,doctor daughter men glory harlequin superromance,Judith Bowen,1999,Harlequin,"[1980, 2000)",3250,497,4,doctor daughter men glory harlequin superromance
0451205650,fortune hunter signet regency romance,Diane Farr,2002,Signet Book,"[2000, 2020)",1497,1081,5,fortune hunter signet regency romance
0316089699,sea glass novel,Anita Shreve,2003,Back Bay Books,"[2000, 2020)",304,102,5,sea glass
1551669404,mountain,Robyn Carr,2002,Mira,"[2000, 2020)",5367,756,5,mountain
8806163698,il giovane holden,J. D. Salinger,2003,Distribooks Inc,"[2000, 2020)",2482,314,5,il giovane holden
0140348107,side mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),"[2000, 2020)",2806,1061,5,side mountain
0060506679,every secret thing novel,Laura Lippman,2003,William Morrow,"[2000, 2020)",3680,1305,5,every secret thing
0375701427,american pastoral,Philip Roth,1998,Vintage,"[1980, 2000)",5000,1254,4,american pastoral
0553135457,sophies choice,William Styron,1900,Bantam Doubleday Dell,"[1900, 1920)",6391,119,0,sophies choice
0380000830,gun avalon chronicle amber,Roger Zelazny,1996,Harper Mass Market Paperbacks (Mm),"[1980, 2000)",5388,508,4,gun avalon chronicle amber
0380014300,nine prince amber,Roger Zelazny,1977,Avon,"[1960, 1980)",5388,94,3,nine prince amber
0330312367,year provence,Peter Mayle,1900,Pan Books Ltd,"[1900, 1920)",4965,843,0,year provence
2253001279,journal de anne frank,Anne Frank,2003,Livre De Poche French,"[2000, 2020)",344,689,5,journal de anne frank
2253047422,le pigeon,Patrick Suskind,1900,Livre De Poche French,"[1900, 1920)",4851,689,0,le pigeon
843760494X,cien o de soledad,Gabriel GarcÃÂ­a MÃÂ¡rquez,1994,Ediciones Catedra S.A.,"[1980, 2000)",2060,353,4,cien o de soledad
0312281250,ghost hannah mendes,Naomi Ragen,2001,St. Martin's Griffin,"[2000, 2020)",4597,1123,5,ghost hannah mendes
0060936363,portrait sepia novel,Isabel Allende,2002,Perennial,"[2000, 2020)",2460,878,5,portrait sepia
038082101X,daughter fortune novel,Isabel Allende,2001,HarperTorch,"[2000, 2020)",2460,528,5,daughter fortune
1558747028,chicken soup college soul inspiring humorous story college student chicken soup soul,Jack Canfield,1999,Health Communications,"[1980, 2000)",2589,551,4,chicken soup college soul inspiring humorous  college student chicken soup soul
0671708635,seven habit highly effective people,Stephen R. Covey,1990,Free Press,"[1980, 2000)",5771,435,4,seven habit highly effective people
0375727566,yeats dead vintage crime black lizard,Joseph O'Connor,2002,Vintage Books USA,"[2000, 2020)",3216,1257,5,yeats dead vintage crime black lizard
0553377884,skinny leg,Tom Robbins,1995,Bantam,"[1980, 2000)",6121,112,4,skinny leg
0061012289,secret affair,Barbara Taylor Bradford,1997,HarperTorch,"[1980, 2000)",543,528,4,secret affair
0061092088,dangerous know,Barbara Taylor Bradford,1996,HarperTorch,"[1980, 2000)",543,528,4,dangerous know
0425162788,politika tom clancy power play paperback,Tom Clancy,1999,Berkley Publishing Group,"[1980, 2000)",6107,145,4,politika tom clancy power play 
0451208811,blood orchid,Stuart Woods,2003,Signet Book,"[2000, 2020)",5816,1081,5,blood orchid
2070419878,novecento pianiste,Alessandro Baricco,2002,Gallimard,"[2000, 2020)",145,446,5,novecento pianiste
0345342968,fahrenheit,RAY BRADBURY,1987,Del Rey,"[1980, 2000)",5056,281,4,fahrenheit
0192860925,selfish gene,Richard Dawkins,1990,Oxford University Press,"[1980, 2000)",5192,836,4,selfish gene
0812550706,ender game ender wiggins saga paperback,Orson Scott Card,1994,Tor Books,"[1980, 2000)",4718,1191,4,ender game ender wiggins saga 
0553580302,house harkonnen dune house trilogy book,Brian Herbert,2001,Spectra Books,"[2000, 2020)",746,1116,5,house harkonnen dune house trilogy
0441102670,chapterhouse dune dune chronicle book,Frank Herbert,1996,ACE Charter,"[1980, 2000)",1994,3,4,chapterhouse dune dune chronicle
0441328008,heretic dune dune chronicle book,Frank Herbert,1996,ACE Charter,"[1980, 2000)",1994,3,4,heretic dune dune chronicle
0441294677,god emperor dune dune chronicle book,Frank Herbert,1991,ACE Charter,"[1980, 2000)",1994,3,4,god emperor dune dune chronicle
0441104029,child dune dune chronicle book,Frank Herbert,1991,Ace Books,"[1980, 2000)",1994,12,4,child dune dune chronicle
0345443683,blackwood farm rice anne vampire chronicle,ANNE RICE,2003,Ballantine Books,"[2000, 2020)",64,111,5,blackwood farm rice anne vampire chronicle
0345378482,andromeda strain,MICHAEL CRICHTON,1992,Ballantine Books,"[1980, 2000)",4024,111,4,andromeda strain
0671758896,love music love dance,Mary Higgins Clark,1992,Pocket,"[1980, 2000)",4239,913,4,love music love dance
0345348109,killer angel,Michael Shaara,1993,Ballantine Books,"[1980, 2000)",4426,111,4,killer angel
0451177096,dolores claiborne,Stephen King,2004,Signet Book,"[2000, 2020)",5762,1081,5,dolores claiborne
0345422384,pandora new tale vampire new tale vampire,Anne Rice,1999,Ballantine Books,"[1980, 2000)",364,111,4,pandora new tale vampire new tale vampire
0441328091,hero crown,Robin McKinley,1989,ACE Charter,"[1980, 2000)",5359,3,4,hero crown
0684818868,lie teacher told everything american history textbook got wrong,James W. Loewen,1996,Touchstone,"[1980, 2000)",2715,1197,4,lie teacher told everything american history textbook got wrong
0812513754,lord chaos wheel time book,Robert Jordan,1995,Tor Fantasy,"[1980, 2000)",5298,1194,4,lord chaos wheel time
0812550307,fire heaven wheel time book,Robert Jordan,1994,Tor Fantasy,"[1980, 2000)",5298,1194,4,fire heaven wheel time
0812513738,shadow rising wheel time book,Robert Jordan,1993,Tor Fantasy,"[1980, 2000)",5298,1194,4,shadow rising wheel time
0312852487,dragon reborn wheel time book,Robert Jordan,1991,Tor Books,"[1980, 2000)",5298,1191,4,dragon reborn wheel time
0812511816,eye world wheel time book,Robert Jordan,1990,Tor Fantasy,"[1980, 2000)",5298,1194,4,eye world wheel time
0553351702,book five ring,Miyamoto Musashi,1992,Bantam,"[1980, 2000)",4499,112,4,five ring
0375705090,zen art archery vintage spiritual classic,EUGEN HERRIGEL,1999,Vintage,"[1980, 2000)",1660,1254,4,zen art archery vintage spiritual classic
0312269587,plane insanity flight attendant tale sex rage queasiness foot,Elliott Hester,2002,St. Martin's Press,"[2000, 2020)",1809,1126,5,plane insanity flight attendant tale sex rage queasiness foot
0099244926,street lawyer,John Grisham,1999,Random House Uk Ltd,"[1980, 2000)",3079,976,4,street lawyer
0413588106,growing pain adrian mole,Sue Townsend,1900,Methuen Publishing Ltd,"[1900, 1920)",5827,747,0,growing pain adrian mole
0812515609,people mist first north american series book,Kathleen O'Neal Gear,1998,Tor Books,"[1980, 2000)",3456,1191,4,people mist first north american series
0451183681,harm way,Stephen White,1997,Signet Book,"[1980, 2000)",5779,1081,4,harm way
3442424623,die bildhauerin,Minette Walters,1996,Goldmann,"[1980, 2000)",4489,456,4,die bildhauerin
0425122123,clear present danger jack ryan novel,Tom Clancy,1996,Berkley Publishing Group,"[1980, 2000)",6107,145,4,clear present danger jack ryan
080410882X,dinner homesick restaurant,Anne Tyler,1992,Ivy Books,"[1980, 2000)",368,608,4,dinner homesick restaurant
1578562325,together one place novel kinship courage faith kirkpatrick jane kinship courage historical series bk,Jane Kirkpatrick,2000,Waterbrook Press,"[2000, 2020)",2744,1287,5,together one place  kinship courage faith kirkpatrick jane kinship courage historical series bk
0385484518,tuesday morrie old man young man life greatest lesson,MITCH ALBOM,1997,Doubleday,"[1980, 2000)",4033,325,4,tuesday morrie old man young man life greatest lesson
0060951710,martha stuart better entertaining parody,Tom Connor,1996,Perennial Currents,"[1980, 2000)",6108,881,4,martha stuart better entertaining parody
0060922532,pig heaven,Barbara Kingsolver,1994,Perennial,"[1980, 2000)",527,878,4,pig heaven
0786864133,napalm silly putty,George Carlin,2001,Hyperion,"[2000, 2020)",2122,579,5,napalm silly putty
156836010X,say delany sister first year,Sarah Louise Delany,1993,Kodansha America,"[1980, 2000)",5570,643,4,say delany sister first year
0440236703,tell one,Harlan Coben,2002,Dell Publishing Company,"[2000, 2020)",2292,290,5,tell one
0671795937,rogue warrior rogue warrior paperback,Richard Marcinko,1993,Pocket,"[1980, 2000)",5206,913,4,rogue warrior rogue warrior 
0345380274,deadly justice,William Bernhardt,1993,Ballantine Books,"[1980, 2000)",6340,111,4,deadly justice
0440224039,true crime novel,Andrew Klavan,1997,Dell,"[1980, 2000)",275,287,4,true crime
076790396X,pilate body ultimate home guide strengthening lengthening toning body without machine,Brooke Siler,2000,Broadway Books,"[2000, 2020)",757,193,5,pilate body ultimate home guide strengthening lengthening toning body without machine
1592400876,eats shoot leaf zero tolerance approach punctuation,Lynne Truss,2004,Gotham Books,"[2000, 2020)",3969,462,5,eats shoot leaf zero tolerance approach punctuation
0316779490,naked,David Sedaris,1997,Little Brown & Co,"[1980, 2000)",1399,680,4,naked
0767902513,walk wood rediscovering america appalachian trail,Bill Bryson,1998,Bantam Dell Pub Group,"[1980, 2000)",667,117,4,walk wood rediscovering america appalachian trail
068815252X,book,Whoopi Goldberg,1997,William Morrow & Company,"[1980, 2000)",6325,1306,4,
078686351X,dirty joke beer story unrefined,Drew Carey,1997,Hyperion Books,"[1980, 2000)",1609,580,4,dirty joke beer  unrefined
0375706410,waiting vintage international,Ha Jin,2000,Vintage Books USA,"[2000, 2020)",2273,1257,5,waiting vintage international
0452266688,portable curmudgeon,Jon Winokur,1992,Plume Books,"[1980, 2000)",3170,911,4,portable curmudgeon
020530902X,element style fourth edition,William Strunk Jr.,2000,Pearson Higher Education,"[2000, 2020)",6389,856,5,element style fourth edition
0380810336,feeling good new mood therapy,David D. Burns,1999,Avon,"[1980, 2000)",1352,94,4,feeling good new mood therapy
1565122798,educating esme diary teacher first year,Esme Raji Codell,2001,Algonquin Books of Chapel Hill,"[2000, 2020)",1887,42,5,educating esme diary teacher first year
0140621407,fairy tale penguin popular classic,H.C. Andersen,1995,Penguin Books Ltd,"[1980, 2000)",2254,864,4,fairy tale penguin popular classic
0553274503,flower algernon bantam classic,DANIEL KEYES,1984,Bantam,"[1980, 2000)",1200,112,4,flower algernon bantam classic
0440224659,sooner later,Elizabeth Adler,1998,Dell Publishing Company,"[1980, 2000)",1747,290,4,sooner later
1841492086,portable door,Tom Holt,2004,Orbit Book Co.,"[2000, 2020)",6114,821,5,portable door
0345308239,march folly troy vietnam,Barbara W. Tuchman,1992,Ballantine Books,"[1980, 2000)",547,111,4,march folly troy vietnam
0413537900,secret diary adrian mole aged,Sue Townsend,1982,Methuen Publishing Ltd,"[1980, 2000)",5827,747,4,secret diary adrian mole aged
0671511424,devil blue dress easy rawlins mystery paperback,Walter Mosley,1995,Pocket,"[1980, 2000)",6296,913,4,devil blue dress easy rawlins mystery 
0425133540,sum fear jack ryan novel,Tom Clancy,1996,Berkley Publishing Group,"[1980, 2000)",6107,145,4,sum fear jack ryan
0743469801,girl weird novel,Pamela Ribon,2003,Downtown Press,"[2000, 2020)",4791,331,5,girl weird
0425173755,murder orient express hercule poirot mystery paperback,Agatha Christie,2000,Berkley Publishing Group,"[2000, 2020)",94,145,5,murder orient express hercule poirot mystery 
0451199871,body library miss marple mystery paperback,Agatha Christie,2000,Signet Book,"[2000, 2020)",94,1081,5,body library miss marple mystery 
0671822209,wld accordng garp,John Irving,1979,Pocket,"[1960, 1980)",3083,913,3,wld accordng garp
0064409430,magician nephew chronicle narnia book full color collector edition,C. S. Lewis,2000,HarperTrophy,"[2000, 2020)",796,529,5,magician nephew chronicle narnia  full color collector edition
0425194493,flashback,Nevada Barr,2004,Berkley Publishing Group,"[2000, 2020)",4629,145,5,flashback
0671722816,othello,William Shakespeare,1993,Washington Square Press,"[1980, 2000)",6385,1285,4,othello
0842361715,present darkness,Frank E. Peretti,2002,Living Books,"[2000, 2020)",1992,688,5,present darkness
0446527289,first counsel,Brad Meltzer,2001,Warner Books,"[2000, 2020)",717,1277,5,first counsel
0743457900,tinker tailor soldier spy,John le Carre,2002,Scribner,"[2000, 2020)",3154,1062,5,tinker tailor soldier spy
0394830148,berenstain bear much vacation first time book,Stan Berenstain,1989,Random House Children's Books,"[1980, 2000)",5715,966,4,berenstain bear much vacation first time
0345384350,icebound,Dean R. Koontz,1995,Ballantine Books,"[1980, 2000)",1417,111,4,icebound
0060175532,young wife,Olivia Goldsmith,2000,HarperCollins Publishers,"[2000, 2020)",4711,518,5,young wife
0811200701,berlin story last mr norris goodbye berlin new direction book,Christopher Isherwood,1963,J. Laughlin,"[1960, 1980)",1079,611,3,berlin  last mr norris goodbye berlin new direction
0671023373,man search meaning,Viktor E. Frankl,1997,Pocket,"[1980, 2000)",6230,913,4,man search meaning
0679748083,kitchen god wife vintage contemporary,Amy Tan,1993,Vintage Books USA,"[1980, 2000)",240,1257,4,kitchen god wife vintage contemporary
0425175405,black notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,"[2000, 2020)",4813,145,5,black notice
0380731851,mystic river,Dennis Lehane,2002,HarperTorch,"[2000, 2020)",1474,528,5,mystic river
0749930721,hitched,Z. Barnes,1998,Judy Piatkus Publishers Ltd,"[1980, 2000)",6428,627,4,hitched
0380776510,paradise wild,Johanna Lindsey,1981,Avon,"[1980, 2000)",3033,94,4,paradise wild
880781210X,ii paradiso degli orchi,Daniel Pennac,1994,Universale Economica Feltrinelli,"[1980, 2000)",1286,1227,4,ii paradiso degli orchi
2070368076,huis clos suivi de le mouches folio ser,Jean-Paul Sartre,1964,Distribooks,"[1960, 1980)",2828,313,3,huis clos suivi de le mouches folio ser
0425185702,mcnally chance,Lawrence Sanders,2002,Berkley Publishing Group,"[2000, 2020)",3723,145,5,mcnally chance
0684862719,pay forward novel,Catherine Ryan Hyde,2000,Simon & Schuster,"[2000, 2020)",955,1087,5,pay forward
0552998338,blast past,Ben Elton,1999,Bantam Doubleday Dell,"[1980, 2000)",583,119,4,blast past
0684859262,single single,John le Carre,1999,Scribner,"[1980, 2000)",3154,1062,4,single single
0684836491,apocalypse wow,James Finn Garner,1997,Simon & Schuster,"[1980, 2000)",2660,1087,4,apocalypse wow
0345452550,cold heart alex delaware novel,JONATHAN KELLERMAN,2003,Ballantine Books,"[2000, 2020)",2570,111,5,cold heart alex delaware
0399147357,dead sleep,Greg Iles,2001,G. P. Putnam's Sons,"[2000, 2020)",2213,443,5,dead sleep
0740704532,random act management dilbert book,Scott Adams,2000,Andrews McMeel Publishing,"[2000, 2020)",5587,63,5,random act management dilbert
0836221974,conversation dogbert dilbert book,Scott Adams,1996,Andrews McMeel Publishing,"[1980, 2000)",5587,63,4,conversation dogbert dilbert
0345452534,murder book,JONATHAN KELLERMAN,2002,Ballantine Books,"[2000, 2020)",2570,111,5,murder
0316602051,jester,James Patterson,2003,"Little, Brown","[2000, 2020)",2694,687,5,jester
0688156126,jupiter bone novel peter decker rina lazarus novel hardcover,Faye Kellerman,1999,Harpercollins,"[1980, 2000)",1942,530,4,jupiter bone  peter decker rina lazarus  hardcover
0440221420,witness novel,Ridley Pearson,1996,Island,"[1980, 2000)",5240,605,4,witness
0553573977,hancock boy,Thomas William Simpson,2000,Bantam Books,"[2000, 2020)",6058,113,5,hancock boy
0451197879,roadwork,Richard Bachman,1999,Signet Book,"[1980, 2000)",5186,1081,4,roadwork
0380796090,watermelon,Marian Keyes,1999,Avon,"[1980, 2000)",4130,94,4,watermelon
0446604666,sick puppy,Carl Hiaasen,2001,Warner Vision,"[2000, 2020)",868,1284,5,sick puppy
0340792655,turning thirty,Mike Gayle,2001,Hodder & Stoughton General Division,"[2000, 2020)",4469,565,5,turning thirty
0061015725,prey,Michael Crichton,2003,Avon Books,"[2000, 2020)",4370,95,5,prey
0553579754,fear nothing,DEAN KOONTZ,1998,Bantam,"[1980, 2000)",1222,112,4,fear nothing
0425181200,dale brown dreamland,Dale Brown,2001,Berkley Publishing Group,"[2000, 2020)",1250,145,5,dale brown dreamland
0451163494,key rebecca,Ken Follett,1989,Signet Book,"[1980, 2000)",3501,1081,4,key rebecca
0425157164,shadow steel,Dale Brown,1997,Berkley Publishing Group,"[1980, 2000)",1250,145,4,shadow steel
0449221482,j judgment,Sue Grafton,1999,Fawcett Books,"[1980, 2000)",5821,410,4,j judgment
0316154067,void moon,Michael Connelly,1999,"Little, Brown","[1980, 2000)",4368,687,4,void moon
0312958455,last coyote last coyote,Michael Connelly,1996,St. Martin's Press,"[1980, 2000)",4368,1126,4,last coyote last coyote
0515120863,killing critic kathleen mallory novel paperback,Carol O'Connell,1997,Jove Books,"[1980, 2000)",898,625,4,killing critic kathleen mallory  
0553279912,alibi kinsey millhone mystery paperback,SUE GRAFTON,1987,Bantam,"[1980, 2000)",5502,112,4,alibi kinsey millhone mystery 
0345353145,sphere,MICHAEL CRICHTON,1988,Ballantine Books,"[1980, 2000)",4024,111,4,sphere
0553348973,still life woodpecker,TOM ROBBINS,1990,Bantam,"[1980, 2000)",5955,112,4,still life woodpecker
0446516538,slow waltz cedar bend,Robert James Waller,1993,Warner Books,"[1980, 2000)",5297,1277,4,slow waltz cedar bend
0440214041,pelican brief,John Grisham,1993,Dell,"[1980, 2000)",3079,287,4,pelican brief
0679446486,airframe,Michael Crichton,1996,Alfred A. Knopf,"[1980, 2000)",4370,39,4,airframe
0062507567,thirteen original clan mother sacred path discovering gift talent ability feminin,Jamie Sams,1994,HarperSanFrancisco,"[1980, 2000)",2721,526,4,thirteen original clan mother sacred path discovering gift talent ability feminin
1561707244,nature good evil journey soul series book,Sylvia Browne,2001,Hay House,"[2000, 2020)",5917,546,5,nature good evil journey soul series
1561706213,adventure psychic fascinating inspiring true life story one america successful clairvoyant,Sylvia Browne,1998,Hay House,"[1980, 2000)",5917,546,4,adventure psychic fascinating inspiring true life  one america successful clairvoyant
0525945040,side back psychic guide world beyond,Sylvia Browne,1999,Penguin Putnam,"[1980, 2000)",5917,866,4,side back psychic guide world beyond
0743400720,camino,Shirley MacLaine,2000,Atria,"[2000, 2020)",5664,86,5,camino
1880032627,creative visualization use power imagination create want life,Shakti Gawain,1995,New World Library,"[1980, 2000)",5616,796,4,creative visualization use power imagination create want life
0915811898,way peaceful warrior th anniversary edition book change life,Dan Millman,2000,H.J. Kramer,"[2000, 2020)",1260,480,5,way peaceful warrior th anniversary edition  change life
0385315287,running safety adventure spirit,Richard Bach,1995,Delta,"[1980, 2000)",5185,291,4,running safety adventure spirit
0440108268,bridge across forever,Richard Bach,1986,Dell,"[1980, 2000)",5185,287,4,bridge across forever
0440204321,gift wing,Richard Bach,1989,Dell,"[1980, 2000)",5185,287,4,gift wing
044020562X,one,Richard Bach,1989,Dell,"[1980, 2000)",5185,287,4,one
0140298479,bridget jones edge reason,Helen Fielding,2001,Penguin Books,"[2000, 2020)",2339,860,5,bridget jones edge reason
0809237628,chris morning love life whole karmic enchilada,Louis Chunovic,1993,McGraw-Hill,"[1980, 2000)",3894,733,4,chris morning love life whole karmic enchilada
0671777351,letter cicely,Ellis Weiner,1992,Pocket,"[1980, 2000)",1811,913,4,letter cicely
067084487X,stinky cheeseman fairly stupid tale caldecott honor book,Jon Scieszka,1993,Viking Books,"[1980, 2000)",3167,1247,4,stinky cheeseman fairly stupid tale caldecott honor
0062509594,essential rumi,Coleman Barks,1997,HarperSanFrancisco,"[1980, 2000)",1125,526,4,essential rumi
0446673714,soul code search character calling,James Hillman,1997,Warner Books,"[1980, 2000)",2670,1277,4,soul code search character calling
0062513346,valkyrie,Paulo Coelho,1996,HarperSanFrancisco,"[1980, 2000)",4900,526,4,valkyrie
0060256664,giving tree,Shel Silverstein,1964,HarperCollins,"[1960, 1980)",5639,514,3,giving tree
0786889020,stand close naked man,Tim Allen,1995,Hyperion,"[1980, 2000)",6065,579,4,stand close naked man
0688149790,babyhood,Paul Reiser,1997,William Morrow & Company,"[1980, 2000)",4882,1306,4,babyhood
0671519751,thirty five thousand plus baby name largest selection popular unusual name around world,Bruce Lansky,1995,Meadowbrook,"[1980, 2000)",765,738,4,thirty five thousand plus baby name largest selection popular unusual name around world
0140386645,westing game speak,Ellen Raskin,1997,Penguin Putnam Books for Young Readers,"[1980, 2000)",1805,867,4,westing game speak
0345337662,interview vampire,Anne Rice,1993,Ballantine Books,"[1980, 2000)",364,111,4,interview vampire
0345351525,queen damned vampire chronicle paperback,Anne Rice,1993,Ballantine Books,"[1980, 2000)",364,111,4,queen damned vampire chronicle 
